trail_id,poi_id,poi_order,poi_name,en_trail_name
1,1,1,桃山瀑布步道0k,tao_mountain
1,12,2,桃山登山步道0k,tao_mountain
1,15,3,桃山登山步道2k,tao_mountain
1,18,4,桃山三角點,tao_mountain
1,15,5,桃山登山步道2k,tao_mountain
1,12,6,桃山登山步道0k,tao_mountain
1,1,7,桃山瀑布步道0k,tao_mountain
2,1,1,桃山瀑布步道0k,tao_kalaye
2,12,2,桃山登山步道0k,tao_kalaye
2,15,3,桃山登山步道2k,tao_kalaye
2,18,4,桃山三角點,tao_kalaye
2,19,5,喀拉業山三角點,tao_kalaye
2,18,6,桃山三角點,tao_kalaye
2,15,7,桃山登山步道2k,tao_kalaye
2,12,8,桃山登山步道0k,tao_kalaye
2,1,9,桃山瀑布步道0k,tao_kalaye
3,1,1,桃山瀑布步道0k,chiyou
3,12,2,桃山登山步道0k,chiyou
3,7,3,池有山登山步道0k,chiyou
3,10,4,池有山登山步道2.5k,chiyou
3,21,5,池有山三角點,chiyou
3,10,6,池有山登山步道2.5k,chiyou
3,7,7,池有山登山步道0k,chiyou
3,12,8,桃山登山步道0k,chiyou
3,1,9,桃山瀑布步道0k,chiyou
4,1,1,桃山瀑布步道0k,chiyou_pintian
4,12,2,桃山登山步道0k,chiyou_pintian
4,7,3,池有山登山步道0k,chiyou_pintian
4,10,4,池有山登山步道2.5k,chiyou_pintian
4,21,5,池有山三角點,chiyou_pintian
4,22,6,品田山三角點,chiyou_pintian
4,10,7,池有山登山步道2.5k,chiyou_pintian
4,7,8,池有山登山步道0k,chiyou_pintian
4,12,9,桃山登山步道0k,chiyou_pintian
4,1,10,桃山瀑布步道0k,chiyou_pintian
6,23,1,北大武山新登山口,mt_beidawu
6,26,2,北大武山登山步道0K-舊登山口,mt_beidawu
6,31,3,北大武山登山步道2K,mt_beidawu
6,36,4,北大武山登山步道4K-檜谷山莊,mt_beidawu
6,39,5,北大武山登山步道5.4K-紅檜巨木,mt_beidawu
6,46,6,北大武山三角點,mt_beidawu
6,39,7,北大武山登山步道5.4K-紅檜巨木,mt_beidawu
6,36,8,北大武山登山步道4K-檜谷山莊,mt_beidawu
6,31,9,北大武山登山步道2K,mt_beidawu
6,26,10,北大武山登山步道0K-舊登山口,mt_beidawu
6,23,11,北大武山新登山口,mt_beidawu
7,64,1,塔關山-起點,mt_taguan
7,68,2,塔關山-訊號點,mt_taguan
7,72,3,塔關山-三角點,mt_taguan
7,68,4,塔關山-訊號點,mt_taguan
7,64,5,塔關山-起點,mt_taguan
8,75,1,奇萊山步道0K-滑雪山莊,qilai_main_north
8,80,2,奇萊山步道1.8K,qilai_main_north
8,89,3,奇萊山步道-成功山屋,qilai_main_north
8,93,4,奇萊山步道-岔路口,qilai_main_north
8,94,5,奇萊北峰(先到),qilai_main_north
8,93,6,奇萊山步道-岔路口,qilai_main_north
8,98,7,奇萊主山(後到),qilai_main_north
8,93,8,奇萊山步道-岔路口,qilai_main_north
8,89,9,奇萊山步道-成功山屋,qilai_main_north
8,80,10,奇萊山步道1.8K,qilai_main_north
8,75,11,奇萊山步道0K-滑雪山莊,qilai_main_north
9,99,1,志佳陽0k,mt_hijiayang
9,101,2,志佳陽1.3k-廢棄工寮,mt_hijiayang
9,103,3,志佳陽6.9k,mt_hijiayang
9,104,4,志佳陽7.8k-三角點,mt_hijiayang
9,103,5,志佳陽6.9k,mt_hijiayang
9,101,6,志佳陽1.3k-廢棄工寮,mt_hijiayang
9,99,7,志佳陽0k,mt_hijiayang
10,105,1,白姑大山登山口,mt_baiguda
10,107,2,白姑大山1K-岔路口,mt_baiguda
10,111,3,白姑大山2.9K-三錐山三角點,mt_baiguda
10,114,4,白姑大山4.8K-司晏池營地,mt_baiguda
10,116,5,白姑大山三角點,mt_baiguda
10,114,6,白姑大山4.8K-司晏池營地,mt_baiguda
10,111,7,白姑大山2.9K-三錐山三角點,mt_baiguda
10,107,8,白姑大山1K-岔路口,mt_baiguda
10,105,9,白姑大山登山口,mt_baiguda
11,117,1,郡大山登山口,mt_junda
11,118,2,郡大山0.5k-望鄉山三角點,mt_junda
11,121,3,郡大山2.2k-郡大山北峰三角點,mt_junda
11,122,4,郡大山3.6k-郡大山三角點,mt_junda
11,121,5,郡大山2.2k-郡大山北峰三角點,mt_junda
11,118,6,郡大山0.5k-望鄉山三角點,mt_junda
11,117,7,郡大山登山口,mt_junda
12,123,1,雪山主峰步道0K,mt_xue_east
12,125,2,雪山主峰步道1.0K,mt_xue_east
12,128,3,雪山主峰步道4.0K,mt_xue_east
12,129,4,雪山東峰,mt_xue_east
12,128,5,雪山主峰步道4.0K,mt_xue_east
12,125,6,雪山主峰步道1.0K,mt_xue_east
12,123,7,雪山主峰步道0K,mt_xue_east
13,123,1,雪山主峰步道0K,xue_main_east
13,125,2,雪山主峰步道1.0K,xue_main_east
13,128,3,雪山主峰步道4.0K,xue_main_east
13,129,4,雪山東峰,xue_main_east
13,130,5,雪山主峰,xue_main_east
13,129,6,雪山東峰,xue_main_east
13,128,7,雪山主峰步道4.0K,xue_main_east
13,125,8,雪山主峰步道1.0K,xue_main_east
13,123,9,雪山主峰步道0K,xue_main_east
14,73,1,關山嶺山-起點,mt_guanshangling
14,74,2,關山嶺山-三角點,mt_guanshangling
14,73,3,關山嶺山-起點,mt_guanshangling
15,47,1,北合歡山步道0K,hehuan_north
15,52,2,北合歡山步道1K,hehuan_north
15,56,3,合歡北峰,hehuan_north
15,52,4,北合歡山步道1K,hehuan_north
15,47,5,北合歡山步道0K,hehuan_north
16,47,1,北合歡山步道0K,hehuan_north_west
16,52,2,北合歡山步道1K,hehuan_north_west
16,56,3,合歡北峰,hehuan_north_west
16,61,4,西合歡山步道4.2K,hehuan_north_west
16,63,5,合歡西峰,hehuan_north_west
16,61,6,西合歡山步道4.2K,hehuan_north_west
16,56,7,合歡北峰,hehuan_north_west
16,52,8,北合歡山步道1K,hehuan_north_west
16,47,9,北合歡山步道0K,hehuan_north_west
17,131,1,塔塔加登山口,mt_jade_front
17,133,2,玉山步道2k,mt_jade_front
17,134,3,玉山步道2.7k-玉山前峰步道岔路口,mt_jade_front
17,148,4,玉山前峰,mt_jade_front
17,134,5,玉山步道2.7k-玉山前峰步道岔路口,mt_jade_front
17,133,6,玉山步道2k,mt_jade_front
17,131,7,塔塔加登山口,mt_jade_front
18,131,1,塔塔加登山口,mt_jade_main
18,133,2,玉山步道2k,mt_jade_main
18,134,3,玉山步道2.7k-玉山前峰步道岔路口,mt_jade_main
18,136,4,玉山步道-距主峰1.4K,mt_jade_main
18,141,5,排雲山莊,mt_jade_main
18,138,6,玉山主峰,mt_jade_main
18,141,7,排雲山莊,mt_jade_main
18,136,8,玉山步道-距主峰1.4K,mt_jade_main
18,134,9,玉山步道2.7k-玉山前峰步道岔路口,mt_jade_main
18,133,10,玉山步道2k,mt_jade_main
18,131,11,塔塔加登山口,mt_jade_main
19,131,1,塔塔加登山口,mt_jade_west
19,133,2,玉山步道2k,mt_jade_west
19,134,3,玉山步道2.7k-玉山前峰步道岔路口,mt_jade_west
19,141,4,排雲山莊,mt_jade_west
19,144,5,玉山西峰步道-距西峰1.5K,mt_jade_west
19,145,6,玉山西峰,mt_jade_west
19,144,7,玉山西峰步道-距西峰1.5K,mt_jade_west
19,141,8,排雲山莊,mt_jade_west
19,134,9,玉山步道2.7k-玉山前峰步道岔路口,mt_jade_west
19,133,10,玉山步道2k,mt_jade_west
19,131,11,塔塔加登山口,mt_jade_west
